step,start_time,end_time
service_announced,5.731582641601422e-05,13.686418354511261
bid_offered,13.6865043759346,28.92761777639389
winner_choosen,28.927631998062132,39.88340126276016
deployment,40.304029488563536,77.0831896185875
confirm_deployment,77.08319555521011,91.09040429592133
